"Time","10.42.2.7:9400-full0"
2025-05-20 11:05:00,94.1%
2025-05-20 11:05:15,94.1%
2025-05-20 11:05:30,93.7%
2025-05-20 11:05:45,93.7%
2025-05-20 11:06:00,95.8%
2025-05-20 11:06:15,95.8%
2025-05-20 11:06:30,93.1%
2025-05-20 11:06:45,93.1%
2025-05-20 11:07:00,93.3%
2025-05-20 11:07:15,93.3%
2025-05-20 11:07:30,92.6%
2025-05-20 11:07:45,92.6%
2025-05-20 11:08:00,94.1%
2025-05-20 11:08:15,94.1%
2025-05-20 11:08:30,91.5%
2025-05-20 11:08:45,91.5%
2025-05-20 11:09:00,94.0%
2025-05-20 11:09:15,94.0%
2025-05-20 11:09:30,89.9%
2025-05-20 11:09:45,89.9%
2025-05-20 11:10:00,93.5%
2025-05-20 11:10:15,93.5%
2025-05-20 11:10:30,90.0%
2025-05-20 11:10:45,90.0%
2025-05-20 11:11:00,94.7%
2025-05-20 11:11:15,94.7%
2025-05-20 11:11:30,81.1%
2025-05-20 11:11:45,81.1%
2025-05-20 11:12:00,74.2%
2025-05-20 11:12:15,74.2%
2025-05-20 11:12:30,79.9%
2025-05-20 11:12:45,79.9%
2025-05-20 11:13:00,80.0%
2025-05-20 11:13:15,80.0%
2025-05-20 11:13:30,74.6%
2025-05-20 11:13:45,74.6%
2025-05-20 11:14:00,80.1%
2025-05-20 11:14:15,80.1%
2025-05-20 11:14:30,76.8%
2025-05-20 11:14:45,76.8%
2025-05-20 11:15:00,79.9%
2025-05-20 11:15:15,79.9%
2025-05-20 11:15:30,74.7%
2025-05-20 11:15:45,74.7%
2025-05-20 11:16:00,80.1%
2025-05-20 11:16:15,80.1%
2025-05-20 11:16:30,80.0%
2025-05-20 11:16:45,80.0%
2025-05-20 11:17:00,74.7%
2025-05-20 11:17:15,74.7%
2025-05-20 11:17:30,80.0%
2025-05-20 11:17:45,80.0%
2025-05-20 11:18:00,77.0%
2025-05-20 11:18:15,77.0%
2025-05-20 11:18:30,80.0%
2025-05-20 11:18:45,80.0%
2025-05-20 11:19:00,76.9%
2025-05-20 11:19:15,76.9%
2025-05-20 11:19:30,79.9%
2025-05-20 11:19:45,79.9%
2025-05-20 11:20:00,79.1%
2025-05-20 11:20:15,79.1%
2025-05-20 11:20:30,77.8%
2025-05-20 11:20:45,77.8%
2025-05-20 11:21:00,79.9%
2025-05-20 11:21:15,79.9%
2025-05-20 11:21:30,74.8%
2025-05-20 11:21:45,74.8%
2025-05-20 11:22:00,79.9%
2025-05-20 11:22:15,79.9%
2025-05-20 11:22:30,74.5%
2025-05-20 11:22:45,74.5%
2025-05-20 11:23:00,80.1%
2025-05-20 11:23:15,80.1%
2025-05-20 11:23:30,76.9%
2025-05-20 11:23:45,76.9%
2025-05-20 11:24:00,77.6%
2025-05-20 11:24:15,77.6%
2025-05-20 11:24:30,80.1%
2025-05-20 11:24:45,80.1%
2025-05-20 11:25:00,74.6%
2025-05-20 11:25:15,74.6%
2025-05-20 11:25:30,80.0%
2025-05-20 11:25:45,80.0%
2025-05-20 11:26:00,76.8%
2025-05-20 11:26:15,76.8%
2025-05-20 11:26:30,79.9%
2025-05-20 11:26:45,79.9%
2025-05-20 11:27:00,74.7%
2025-05-20 11:27:15,74.7%
2025-05-20 11:27:30,79.9%
2025-05-20 11:27:45,79.9%
2025-05-20 11:28:00,80.0%
2025-05-20 11:28:15,80.0%
2025-05-20 11:28:30,76.9%
2025-05-20 11:28:45,76.9%
2025-05-20 11:29:00,79.8%
2025-05-20 11:29:15,79.8%
2025-05-20 11:29:30,76.8%
2025-05-20 11:29:45,76.8%
2025-05-20 11:30:00,80.1%
2025-05-20 11:30:15,80.1%
2025-05-20 11:30:30,76.8%
2025-05-20 11:30:45,76.8%
2025-05-20 11:31:00,79.8%
2025-05-20 11:31:15,79.8%
2025-05-20 11:31:30,79.7%
2025-05-20 11:31:45,79.7%
2025-05-20 11:32:00,77.2%
2025-05-20 11:32:15,77.2%
2025-05-20 11:32:30,80.0%
2025-05-20 11:32:45,80.0%
2025-05-20 11:33:00,76.8%
2025-05-20 11:33:15,76.8%
2025-05-20 11:33:30,80.1%
2025-05-20 11:33:45,80.1%
2025-05-20 11:34:00,55.1%
2025-05-20 11:34:15,55.1%
2025-05-20 11:34:30,0%
2025-05-20 11:34:45,0%
2025-05-20 11:35:00,0%
2025-05-20 11:35:15,0%
2025-05-20 11:35:30,0%
