"Time","10.42.1.27:9400-full0"
2025-05-20 10:20:00,0%
2025-05-20 10:20:15,0%
2025-05-20 10:20:30,0%
2025-05-20 10:20:45,0%
2025-05-20 10:21:00,0%
2025-05-20 10:21:15,0%
2025-05-20 10:21:30,0%
2025-05-20 10:21:45,0%
2025-05-20 10:22:00,0%
2025-05-20 10:22:15,0%
2025-05-20 10:22:30,0%
2025-05-20 10:22:45,0%
2025-05-20 10:23:00,0%
2025-05-20 10:23:15,0%
2025-05-20 10:23:30,0%
2025-05-20 10:23:45,0%
2025-05-20 10:24:00,0%
2025-05-20 10:24:15,0%
2025-05-20 10:24:30,0%
2025-05-20 10:24:45,0%
2025-05-20 10:25:00,0%
2025-05-20 10:25:15,0%
2025-05-20 10:25:30,0%
2025-05-20 10:25:45,0%
2025-05-20 10:26:00,0%
2025-05-20 10:26:15,0%
2025-05-20 10:26:30,0%
2025-05-20 10:26:45,0%
2025-05-20 10:27:00,0%
2025-05-20 10:27:15,0%
2025-05-20 10:27:30,0%
2025-05-20 10:27:45,0%
2025-05-20 10:28:00,0%
2025-05-20 10:28:15,0%
2025-05-20 10:28:30,0%
2025-05-20 10:28:45,0%
2025-05-20 10:29:00,0%
2025-05-20 10:29:15,48.7%
2025-05-20 10:29:30,48.7%
2025-05-20 10:29:45,74.0%
2025-05-20 10:30:00,74.0%
2025-05-20 10:30:15,74.7%
2025-05-20 10:30:30,74.7%
2025-05-20 10:30:45,73.6%
2025-05-20 10:31:00,73.6%
2025-05-20 10:31:15,71.8%
2025-05-20 10:31:30,71.8%
2025-05-20 10:31:45,68.4%
2025-05-20 10:32:00,68.4%
2025-05-20 10:32:15,64.3%
2025-05-20 10:32:30,64.3%
2025-05-20 10:32:45,73.7%
2025-05-20 10:33:00,73.7%
2025-05-20 10:33:15,74.7%
2025-05-20 10:33:30,74.7%
2025-05-20 10:33:45,68.0%
2025-05-20 10:34:00,68.0%
2025-05-20 10:34:15,70.8%
2025-05-20 10:34:30,70.8%
2025-05-20 10:34:45,74.0%
2025-05-20 10:35:00,74.0%
2025-05-20 10:35:15,73.5%
2025-05-20 10:35:30,73.5%
2025-05-20 10:35:45,67.2%
2025-05-20 10:36:00,67.2%
2025-05-20 10:36:15,65.2%
2025-05-20 10:36:30,65.2%
2025-05-20 10:36:45,73.6%
2025-05-20 10:37:00,73.6%
2025-05-20 10:37:15,70.3%
2025-05-20 10:37:30,70.3%
2025-05-20 10:37:45,75.4%
2025-05-20 10:38:00,75.4%
2025-05-20 10:38:15,74.3%
2025-05-20 10:38:30,74.3%
2025-05-20 10:38:45,62.1%
2025-05-20 10:39:00,62.1%
2025-05-20 10:39:15,71.5%
2025-05-20 10:39:30,71.5%
2025-05-20 10:39:45,71.7%
2025-05-20 10:40:00,71.7%
2025-05-20 10:40:15,69.9%
2025-05-20 10:40:30,69.9%
2025-05-20 10:40:45,72.0%
2025-05-20 10:41:00,72.0%
2025-05-20 10:41:15,66.7%
2025-05-20 10:41:30,66.7%
2025-05-20 10:41:45,72.0%
2025-05-20 10:42:00,72.0%
2025-05-20 10:42:15,67.4%
2025-05-20 10:42:30,67.4%
2025-05-20 10:42:45,73.0%
2025-05-20 10:43:00,73.0%
2025-05-20 10:43:15,74.1%
2025-05-20 10:43:30,74.1%
2025-05-20 10:43:45,66.7%
2025-05-20 10:44:00,66.7%
2025-05-20 10:44:15,73.0%
2025-05-20 10:44:30,73.0%
2025-05-20 10:44:45,73.5%
2025-05-20 10:45:00,73.5%
2025-05-20 10:45:15,68.2%
2025-05-20 10:45:30,68.2%
2025-05-20 10:45:45,70.9%
2025-05-20 10:46:00,70.9%
2025-05-20 10:46:15,68.3%
2025-05-20 10:46:30,68.3%
2025-05-20 10:46:45,74.2%
2025-05-20 10:47:00,74.2%
2025-05-20 10:47:15,73.9%
2025-05-20 10:47:30,73.9%
2025-05-20 10:47:45,73.2%
2025-05-20 10:48:00,73.2%
2025-05-20 10:48:15,65.5%
2025-05-20 10:48:30,65.5%
2025-05-20 10:48:45,61.8%
2025-05-20 10:49:00,61.8%
2025-05-20 10:49:15,74.2%
2025-05-20 10:49:30,74.2%
2025-05-20 10:49:45,74.2%
2025-05-20 10:50:00,74.2%
2025-05-20 10:50:15,72.6%
2025-05-20 10:50:30,72.6%
