"Time","10.42.1.27:9400-full0"
2025-05-20 10:50:45,69.0%
2025-05-20 10:51:00,69.0%
2025-05-20 10:51:15,74.0%
2025-05-20 10:51:30,74.0%
2025-05-20 10:51:45,72.8%
2025-05-20 10:52:00,72.8%
2025-05-20 10:52:15,68.4%
2025-05-20 10:52:30,68.4%
2025-05-20 10:52:45,75.3%
2025-05-20 10:53:00,75.3%
2025-05-20 10:53:15,65.2%
2025-05-20 10:53:30,65.2%
2025-05-20 10:53:45,73.9%
2025-05-20 10:54:00,73.9%
2025-05-20 10:54:15,74.6%
2025-05-20 10:54:30,74.6%
2025-05-20 10:54:45,73.6%
2025-05-20 10:55:00,73.6%
2025-05-20 10:55:15,65.7%
2025-05-20 10:55:30,65.7%
2025-05-20 10:55:45,64.1%
2025-05-20 10:56:00,64.1%
2025-05-20 10:56:15,72.3%
2025-05-20 10:56:30,72.3%
2025-05-20 10:56:45,72.7%
2025-05-20 10:57:00,72.7%
2025-05-20 10:57:15,72.0%
2025-05-20 10:57:30,72.0%
2025-05-20 10:57:45,70.7%
2025-05-20 10:58:00,70.7%
2025-05-20 10:58:15,68.4%
2025-05-20 10:58:30,68.4%
2025-05-20 10:58:45,66.3%
2025-05-20 10:59:00,66.3%
2025-05-20 10:59:15,70.3%
2025-05-20 10:59:30,70.3%
2025-05-20 10:59:45,73.9%
2025-05-20 11:00:00,73.9%
2025-05-20 11:00:15,69.3%
2025-05-20 11:00:30,69.3%
2025-05-20 11:00:45,70.3%
2025-05-20 11:01:00,70.3%
2025-05-20 11:01:15,74.2%
2025-05-20 11:01:30,74.2%
2025-05-20 11:01:45,66.4%
2025-05-20 11:02:00,66.4%
2025-05-20 11:02:15,75.7%
2025-05-20 11:02:30,75.7%
2025-05-20 11:02:45,69.0%
2025-05-20 11:03:00,69.0%
2025-05-20 11:03:15,74.3%
2025-05-20 11:03:30,74.3%
2025-05-20 11:03:45,72.1%
2025-05-20 11:04:00,72.1%
2025-05-20 11:04:15,73.0%
2025-05-20 11:04:30,73.0%
2025-05-20 11:04:45,70.9%
2025-05-20 11:05:00,70.9%
2025-05-20 11:05:15,58.5%
2025-05-20 11:05:30,58.5%
2025-05-20 11:05:45,74.9%
2025-05-20 11:06:00,74.9%
2025-05-20 11:06:15,72.0%
2025-05-20 11:06:30,72.0%
2025-05-20 11:06:45,72.8%
2025-05-20 11:07:00,72.8%
2025-05-20 11:07:15,72.2%
2025-05-20 11:07:30,72.2%
2025-05-20 11:07:45,65.9%
2025-05-20 11:08:00,65.9%
2025-05-20 11:08:15,64.5%
2025-05-20 11:08:30,64.5%
2025-05-20 11:08:45,65.8%
2025-05-20 11:09:00,65.8%
2025-05-20 11:09:15,74.3%
2025-05-20 11:09:30,74.3%
2025-05-20 11:09:45,72.4%
2025-05-20 11:10:00,72.4%
2025-05-20 11:10:15,68.9%
2025-05-20 11:10:30,68.9%
2025-05-20 11:10:45,71.7%
2025-05-20 11:11:00,71.7%
2025-05-20 11:11:15,72.2%
2025-05-20 11:11:30,72.2%
2025-05-20 11:11:45,63.3%
2025-05-20 11:12:00,63.3%
2025-05-20 11:12:15,73.2%
2025-05-20 11:12:30,73.2%
2025-05-20 11:12:45,67.0%
2025-05-20 11:13:00,67.0%
2025-05-20 11:13:15,73.7%
2025-05-20 11:13:30,73.7%
2025-05-20 11:13:45,74.1%
2025-05-20 11:14:00,74.1%
2025-05-20 11:14:15,73.0%
2025-05-20 11:14:30,73.0%
2025-05-20 11:14:45,69.3%
2025-05-20 11:15:00,69.3%
2025-05-20 11:15:15,56.9%
2025-05-20 11:15:30,56.9%
2025-05-20 11:15:45,74.0%
2025-05-20 11:16:00,74.0%
2025-05-20 11:16:15,74.3%
2025-05-20 11:16:30,74.3%
2025-05-20 11:16:45,72.3%
2025-05-20 11:17:00,72.3%
2025-05-20 11:17:15,68.7%
2025-05-20 11:17:30,68.7%
2025-05-20 11:17:45,72.6%
2025-05-20 11:18:00,72.6%
2025-05-20 11:18:15,77.7%
2025-05-20 11:18:30,77.7%
2025-05-20 11:18:45,77.9%
2025-05-20 11:19:00,77.9%
2025-05-20 11:19:15,71.6%
2025-05-20 11:19:30,71.6%
2025-05-20 11:19:45,77.9%
2025-05-20 11:20:00,77.9%
2025-05-20 11:20:15,77.9%
2025-05-20 11:20:30,77.9%
2025-05-20 11:20:45,73.3%
2025-05-20 11:21:00,73.3%
2025-05-20 11:21:15,77.9%
2025-05-20 11:21:30,77.9%
2025-05-20 11:21:45,73.7%
2025-05-20 11:22:00,73.7%
2025-05-20 11:22:15,78.1%
2025-05-20 11:22:30,78.1%
2025-05-20 11:22:45,77.8%
2025-05-20 11:23:00,77.8%
2025-05-20 11:23:15,73.4%
2025-05-20 11:23:30,73.4%
2025-05-20 11:23:45,77.9%
2025-05-20 11:24:00,77.9%
2025-05-20 11:24:15,77.7%
2025-05-20 11:24:30,77.7%
2025-05-20 11:24:45,25.4%
2025-05-20 11:25:00,25.4%
2025-05-20 11:25:15,0%
2025-05-20 11:25:30,0%
2025-05-20 11:25:45,0%
2025-05-20 11:26:00,0%
2025-05-20 11:26:15,0%
2025-05-20 11:26:30,0%
2025-05-20 11:26:45,0%
2025-05-20 11:27:00,0%
2025-05-20 11:27:15,0%
2025-05-20 11:27:30,0%
2025-05-20 11:27:45,0%
2025-05-20 11:28:00,0%
2025-05-20 11:28:15,0%
2025-05-20 11:28:30,0%
2025-05-20 11:28:45,0%
2025-05-20 11:29:00,0%
2025-05-20 11:29:15,0%
2025-05-20 11:29:30,0%
2025-05-20 11:29:45,0%
2025-05-20 11:30:00,0%
2025-05-20 11:30:15,0%
2025-05-20 11:30:30,0%
2025-05-20 11:30:45,0%
2025-05-20 11:31:00,0%
2025-05-20 11:31:15,0%
2025-05-20 11:31:30,0%
2025-05-20 11:31:45,0%
2025-05-20 11:32:00,0%
2025-05-20 11:32:15,0%
2025-05-20 11:32:30,0%
2025-05-20 11:32:45,0%
2025-05-20 11:33:00,0%
2025-05-20 11:33:15,0%
2025-05-20 11:33:30,0%
2025-05-20 11:33:45,0%
2025-05-20 11:34:00,0%
2025-05-20 11:34:15,0%
2025-05-20 11:34:30,0%
2025-05-20 11:34:45,0%
2025-05-20 11:35:00,0%
2025-05-20 11:35:15,0%
2025-05-20 11:35:30,0%
2025-05-20 11:35:45,0%
2025-05-20 11:36:00,0%
2025-05-20 11:36:15,0%
2025-05-20 11:36:30,0%
2025-05-20 11:36:45,0%
2025-05-20 11:37:00,0%
2025-05-20 11:37:15,0%
2025-05-20 11:37:30,0%
2025-05-20 11:37:45,0%
2025-05-20 11:38:00,0%
2025-05-20 11:38:15,0%
2025-05-20 11:38:30,0%
2025-05-20 11:38:45,0%
2025-05-20 11:39:00,0%
2025-05-20 11:39:15,0%
2025-05-20 11:39:30,0%
2025-05-20 11:39:45,0%
2025-05-20 11:40:00,0%
